date: 2018-11-27 ; title: 奉节县朱衣镇三塘村农村移民安置区精准帮扶项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/a32908eb-f84e-4c86-9ca5-d8847f807d99.html
date: 2018-12-05 ; title: 石柱县干溪子道路改造工程中标结果公告 ; location: 石柱县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/53d71924-43c8-47e7-9496-660b7eceba98.html
date: 2018-12-05 ; title: 璧山农村联网公路－干线公路国道G244来凤至丁家段改建工程施工监理中标结果公告 ; location: 璧山区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/22379a9d-bbf6-47a7-8dd0-b340ecd4d5d7.html
date: 2018-12-05 ; title: 前沿产业园标准厂房（二期）配套用房工程（平场土石方及支挡工程）中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/e2737711-287e-4792-a216-7c5dacfa8ff5.html
date: 2018-12-05 ; title: 前沿科技城商务中心平场土石方及支挡工程中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/7be03ba2-edf2-4317-9bdd-da58e6af1682.html
date: 2018-12-05 ; title: 巫云开高速可行性研究报告编制中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/2cb2c416-f1bc-47f6-a2d7-83cc7b93a402.html
date: 2018-12-05 ; title: 天陈路至三峡广场转换道路工程中标结果公告 ; location: 沙坪坝区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/b2516a22-caf9-411d-9bf2-441093783b67.html
date: 2018-12-05 ; title: 沙区小龙坎市场大楼污水、雨水管网改造工程中标结果公告 ; location: 沙坪坝区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/f99f61ff-d733-4251-913d-5ba824a96421.html
date: 2018-12-05 ; title: 万盛经开区为民服务场所装修项目中标结果公告 ; location: 万盛区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181205/15377463-2e7b-4c82-8f7d-ec0c7f2a4f61.html
date: 2018-11-30 ; title: 2017年渝北区外墙砖脱落整治项目（宝圣湖街道宏泰苑）中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/5639a408-8f87-4ba0-97ca-060b32dbb6a5.html
date: 2018-11-30 ; title: 建桥•揽江阁项目甲供混凝土（第二次）中标结果公告 ; location: 大渡口区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/8b1aed65-3d9d-4e60-bc26-f4dbb3c7e028.html
date: 2018-11-30 ; title: 深国际重庆(双福)城市综合物流港项目（第二次）中标结果公告 ; location: 江津区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/4bd35248-43f0-4347-801d-e0faad9b2ec8.html
date: 2018-11-30 ; title: 酉阳县浪坪乡敬老院（第十二中心敬老院）建设项目中标结果公告 ; location: 酉阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/44608058-7153-4d87-b547-e531b987aaf7.html
date: 2018-11-30 ; title: 奉节县竹园镇高治村、石岗乡田树村、竹园镇五龙村3个土地整治（配套）项目（第二次）中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/a75f41cb-7e8c-4919-b51f-f76900fd9222.html
date: 2018-11-30 ; title: 奉节县永乐镇永乐村农村移民安置区精准帮扶项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/d7ada406-b32e-4577-b3f8-856a9f66bda1.html
date: 2018-11-30 ; title: 重庆奉节草堂湖旅游规划项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/b2f6fc85-e675-412b-9f80-67d7d667a866.html
date: 2018-11-30 ; title: 秀山县物流园区幼儿园建设工程中标结果公告 ; location: 秀山县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/d6d2a373-40f8-47ea-8f51-c8d9f512f69f.html
date: 2018-11-30 ; title: 巫镇高速入城连接道工程(A线、C线）监理中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/35b6b342-6ab5-44e0-81ee-61501ec9d0ea.html
date: 2018-11-30 ; title: 关面乡2018年岩溶地区石漠化综合治理工程中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/799055b6-bd5e-44cb-a702-4621fcaa2ed0.html
date: 2018-11-30 ; title: 巫镇高速入城连接道工程（A线、C线）中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/6371551e-2f5b-49fd-a12b-06f1e7637656.html
date: 2018-11-30 ; title: 朵力.迎宾大道F6—2地块B1#—B3#、B11#—B12#楼电梯设备供货及安装中标结果公告 ; location: 大渡口区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/ac79a559-1c6c-48a1-adb0-495c3535c780.html
date: 2018-11-30 ; title: 巫溪县石龙储备粮库扩容项目中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/87d0e2b1-98f7-430b-b9d8-b339b38dabd8.html
date: 2018-11-30 ; title: 潼南区小渡镇刘家村土地整理项目中标结果公告 ; location: 潼南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/abe953ac-fe99-4118-9a67-d83f4b7a55e1.html
date: 2018-11-30 ; title: 璧山农村联网公路项目（一期）－双星大道西延至大兴连接线工程施工监理中标结果公告 ; location: 璧山区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/8a843977-8b60-4e44-acbe-5a1c3c56a738.html
date: 2018-11-30 ; title: 磁器口凤凰山步道项目中标结果公告 ; location: 沙坪坝区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/595a14e8-ed55-4c57-b9d1-3ef982a990c3.html
date: 2018-11-30 ; title: 北碚区2018年度农业综合开发土地治理项目（三标段）中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/7e71beda-94d6-4e1a-8552-2bb92bd4d913.html
date: 2018-11-30 ; title: 北碚区2018年度农业综合开发土地治理项目（二标段）中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/cc886f84-db7c-40e6-a0e2-b752d81447fd.html
date: 2018-12-03 ; title: 全区乡村隐患排查治理工程中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/45ead558-9029-41d8-941e-047732682f52.html
date: 2018-12-03 ; title: 秀山县独立工矿区平凯片区秀南大道（马西河至黄杨大道段）、秀山县雷家河片区滨江路（环城东路至黄杨大桥段）建设项目设计中标结果公告 ; location: 秀山县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/de32f03e-3ae0-40a0-8d78-09c9340664df.html
date: 2018-12-03 ; title: 酉阳县麻旺镇第二小学校（中心校扩容）建设项目中标结果公告 ; location: 酉阳县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/9d362f54-6c7c-470c-ab31-59f38a1ee282.html
date: 2018-12-03 ; title: 沐仙湖公园改造工程中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/869e2a94-b838-4c34-94a8-3c0fdaea8068.html
date: 2018-12-03 ; title: 重庆市茶园新区供水管网二期工程（东港二级供水加压泵站土建标段）中标结果公告 ; location: 南岸区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/c51214dd-ead1-4724-beb9-dc14c4b1ceef.html
date: 2018-12-03 ; title: 重庆市茶园新区供水管网二期工程（东港二级供水加压泵站电力标段）中标结果公告 ; location: 南岸区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/93262dac-b4bb-4e63-add8-5c5b2385963d.html
date: 2018-12-03 ; title: 重庆市茶园新区供水管网二期工程（东港片区供水管网土建及安装标段）中标结果公告 ; location: 南岸区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/2bf2f824-096f-4488-99c3-8b1f0b0da495.html
date: 2018-12-03 ; title: 巫溪县峰灵镇庙溪村农村移民安置区精准帮扶项目中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/6c9f5803-dd4f-4340-a540-87dd307c541d.html
date: 2018-12-03 ; title: 巫溪县县道X002田坝至红池坝升级改造工程（红池坝场镇段）施工监理中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/f695c607-4ebc-4bc2-9956-646689b7884e.html
date: 2018-12-03 ; title: 巫溪县县道X002田坝至红池坝升级改造工程（红池坝场镇段）中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/6153bffe-f699-427a-a229-c728cdc9343c.html
date: 2018-12-03 ; title: 巫溪县下堡镇、古路镇、塘坊镇、菱角镇土地整理项目四标段中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/ce153ec2-644d-442d-9379-e38a043948ec.html
date: 2018-12-03 ; title: 巫溪县下堡镇、古路镇、塘坊镇、菱角镇土地整理项目三标段中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/036b93c2-1800-455d-9ea0-7490d2b42a4f.html
date: 2018-12-03 ; title: 巫溪县下堡镇、古路镇、塘坊镇、菱角镇土地整理项目二标段中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/00be16b1-98c1-47b3-ba05-8835b690d945.html
date: 2018-12-03 ; title: 巫溪县下堡镇、古路镇、塘坊镇、菱角镇土地整理项目一标段中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/153b3331-ff98-4017-959f-68a7199413ce.html
date: 2018-12-03 ; title: 巫溪县朝阳镇绿坪村道路硬化及S502小红桥改建工程中标结果公告 ; location: 巫溪县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/2ceead34-27c2-4d9d-9ece-eda0bbc381ac.html
date: 2018-12-03 ; title: 长寿区2018年“四好农村路”洪湖镇梯赵路改建工程中标结果公告 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/547eda8a-982f-48a6-8c40-3e38d72d8d70.html
date: 2018-12-03 ; title: 重庆市长寿区桃花溪汪家墩至母猪滩段综合治理工程中标结果公告 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181203/31cec417-f70f-4268-84ef-874f733f2c1b.html
date: 2018-11-30 ; title: 2017年渝北区外墙砖脱落整治项目（宝圣湖街道圣湖花园）中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/dc029ea0-9b77-44f0-8de5-1d2cd423b946.html
date: 2018-11-30 ; title: 北碚区2018年度农业综合开发土地治理项目（一标段）中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/d7b2ab9a-ba3d-4054-94d7-f8486a22d28b.html
date: 2018-11-30 ; title: 龙凤桥供水工程槽上水厂生产便道硬化工程中标结果公告 ; location: 北碚区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/47cd7d1a-e56f-45d7-b268-f60cb1a0354d.html
date: 2018-11-30 ; title: 九龙西溪里特色商业街区改造（雕塑小品产品设计-制作-安装项目）中标结果公告 ; location: 九龙坡区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/0d353a77-235f-4331-8529-579d9c81ccff.html
date: 2018-11-30 ; title: 九龙西溪里特色商业街区改造（雕塑小品产品设计-制作-安装项目）中标结果公告 ; location: 九龙坡区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/3ac1d572-fb8f-45ef-81b4-cd2bfd64d9e0.html
date: 2018-11-30 ; title: 万州区郭村镇卫生院业务用房扩建 ; location: 万州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/ea68b49f-a44a-49c2-9c3c-ba5a94b49932.html
date: 2018-11-30 ; title: 建工•锦绣开州勘察设计中标结果公告 ; location: 开州区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181130/bf581d60-30a1-4477-a66d-3a6d5c164bfd.html
